step,head_0,head_1,head_2,head_3
5000,-0.002961759,0.010853392,0.005855402,-0.004215303
10000,0.0060740653,-0.0013780299,0.020299667,-0.005569249
15000,0.00090606883,0.008501995,-0.012438383,0.0074902815
20000,-0.00026951992,-0.012414128,-0.0044104294,-0.004301947
25000,0.020524496,0.0028770533,-0.0014013356,-0.0011360353
30000,-0.0043994025,-0.010809153,-0.00013182312,0.0047891815
35000,-0.008372171,-0.0032831081,-0.011183411,0.00462603
40000,-3.8024038e-05,0.0028192236,-0.0024659573,0.005937734
45000,0.006410098,-0.012482733,-0.0125413835,-0.0029498497
50000,0.0068710847,-0.0076053254,0.002914962,-0.011371285
