step,head_0,head_1,head_2,head_3
5000,0.0004249753,0.022134883,-0.004377453,0.008960962
10000,0.0007855175,0.024002058,0.008484948,0.000789213
15000,0.008255888,-0.0065463777,0.021070356,0.008756269
20000,-0.011229008,-0.006616115,-0.0022377183,0.014337058
25000,0.0061088847,-0.00011411542,-0.0049123704,-0.012710126
30000,-0.0009276066,-0.0014536123,-0.01304731,-0.0010025913
35000,-0.0100261755,-0.004836077,0.00979472,0.02288161
40000,0.0071682427,0.00804292,-0.0022573054,-0.008819908
45000,0.007951546,-0.013605561,-0.0027028979,-0.004244553
50000,0.006518519,-0.0049745976,-1.8463295e-05,0.023773892
