step,head_0,head_1,head_2,head_3
5000,0.006208697,-0.011393458,-0.004548637,0.004539413
10000,-0.0001932159,0.00845914,-8.724892e-05,-0.0009568129
15000,-0.0033824486,0.022916896,-0.005047109,0.0012559444
20000,-0.00015787035,0.0226178,0.008499909,0.007573609
25000,-0.0039239544,-0.011584491,0.022315247,0.02132153
30000,-0.0026085465,-0.0013935867,0.0069698137,-0.007465225
35000,0.022305114,0.00088043883,0.004104429,-0.0122917
40000,0.005544051,-0.0001969114,0.02278529,0.0040956303
45000,0.008020807,-0.0041387705,-0.0029111698,0.020313496
50000,0.018304754,0.020601982,0.006539707,-0.0028459018
