step,dist_from_init,embed_rank,attn_out_rank,ffn_in_rank,out_head_rank,top_hessian_eig,neuron_participation_ratio
5000,0.0,38.49435043334961,50.85577392578125,56.06726837158203,40.39532470703125,258.12152099609375,211.31961059570312
10000,31.865002659840542,42.44702911376953,52.57476043701172,54.64609909057617,38.889060974121094,302.97857666015625,116.11607360839844
15000,42.098163181090335,43.143882751464844,52.38304138183594,63.79640579223633,37.57645034790039,613.943603515625,107.59408569335938
20000,46.786302215988826,43.572303771972656,51.28419876098633,64.65506744384766,34.969276428222656,837.4862060546875,108.3686294555664
25000,51.67388596392083,42.73623275756836,51.5421142578125,65.06897735595703,32.07664489746094,487.7237243652344,124.32887268066406
30000,54.97178539047512,40.795166015625,51.096805572509766,64.54051208496094,32.6882438659668,836.909912109375,144.13719177246094
35000,55.561461325817405,37.73478317260742,50.17302322387695,61.76791000366211,33.15758514404297,1095.4547119140625,176.10997009277344
40000,56.44624133666611,37.933692932128906,48.14714431762695,61.43302536010742,31.07855987548828,1173.2591552734375,185.96864318847656
45000,56.702233444950764,36.30455780029297,47.29958724975586,60.77034378051758,30.27385711669922,1661.5235595703125,203.2479705810547
50000,57.12254397632893,36.96321105957031,46.343421936035156,61.93732452392578,29.574947357177734,652.2374267578125,217.9550018310547
