step,dist_from_init,embed_rank,attn_out_rank,ffn_in_rank,out_head_rank,top_hessian_eig,neuron_participation_ratio
5000,0.0,39.391822814941406,50.20607376098633,58.553592681884766,45.13029861450195,261.2253723144531,266.2821044921875
10000,27.33578654292042,40.13298416137695,50.845821380615234,53.56803512573242,43.79570388793945,668.6961669921875,223.6097869873047
15000,38.18605322802114,39.93316650390625,51.3469123840332,50.49539566040039,43.117313385009766,465.04931640625,205.7510986328125
20000,46.063065756147765,39.55846405029297,52.24494171142578,50.12112045288086,42.6525993347168,420.1277160644531,191.63174438476562
25000,49.87251547676809,39.11178207397461,52.06337356567383,48.73554229736328,42.123199462890625,830.1283569335938,186.95999145507812
30000,52.31939265032919,38.886417388916016,51.39395523071289,48.783878326416016,42.06113052368164,415.0125732421875,183.2644805908203
35000,55.595190029753795,39.00216293334961,51.01234436035156,47.82658386230469,41.707637786865234,545.48095703125,173.73617553710938
40000,58.895549972987205,39.70317077636719,50.39409255981445,47.86402130126953,41.420616149902344,497.9162902832031,183.48953247070312
45000,59.60057360856591,38.995506286621094,50.280174255371094,47.631378173828125,41.31254196166992,578.78466796875,172.77175903320312
50000,61.35255044422194,38.7480583190918,50.0823860168457,47.51304626464844,41.19660568237305,547.9407958984375,154.65545654296875
