=== Grokking-Collapse Experiment ===
Node: udc-an37-1
GPU: NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
Start: Wed Apr  8 14:56:59 EDT 2026

============================================================
Running condition: pure
============================================================
Training on cuda
Condition: pure, collapse_level=0.0
Model parameters: 213,947
Step   100 | train_loss=3.5744 test_loss=4.5381 | train_acc=0.1552 test_acc=0.0119 | ‖W‖=25.23 rank=52.2 fourier=0.098 | time=1.1s
Step   200 | train_loss=3.3561 test_loss=4.8537 | train_acc=0.1801 test_acc=0.0070 | ‖W‖=33.88 rank=49.5 fourier=0.099 | time=1.6s
Step   300 | train_loss=3.2026 test_loss=5.1093 | train_acc=0.2165 test_acc=0.0078 | ‖W‖=43.23 rank=47.9 fourier=0.099 | time=2.2s
Step   400 | train_loss=2.9399 test_loss=5.2657 | train_acc=0.2826 test_acc=0.0090 | ‖W‖=47.52 rank=46.8 fourier=0.099 | time=2.7s
Step   500 | train_loss=2.4361 test_loss=5.3045 | train_acc=0.4119 test_acc=0.0222 | ‖W‖=50.44 rank=45.6 fourier=0.109 | time=3.2s
Step   600 | train_loss=1.5880 test_loss=4.6541 | train_acc=0.6590 test_acc=0.0681 | ‖W‖=52.31 rank=44.6 fourier=0.139 | time=3.7s
Step   700 | train_loss=0.8232 test_loss=3.7337 | train_acc=0.8898 test_acc=0.1793 | ‖W‖=53.65 rank=43.3 fourier=0.157 | time=4.4s
Step   800 | train_loss=0.3893 test_loss=2.9463 | train_acc=0.9914 test_acc=0.2790 | ‖W‖=53.93 rank=42.0 fourier=0.167 | time=4.9s
Step   900 | train_loss=0.2187 test_loss=2.3000 | train_acc=0.9990 test_acc=0.3726 | ‖W‖=53.50 rank=40.7 fourier=0.170 | time=5.4s
Step  1000 | train_loss=0.1581 test_loss=1.7819 | train_acc=0.9990 test_acc=0.4817 | ‖W‖=52.69 rank=39.0 fourier=0.173 | time=5.9s
Step  1100 | train_loss=0.1420 test_loss=1.3260 | train_acc=1.0000 test_acc=0.6451 | ‖W‖=51.82 rank=37.3 fourier=0.178 | time=6.6s
Step  1200 | train_loss=0.1165 test_loss=0.8777 | train_acc=1.0000 test_acc=0.8174 | ‖W‖=51.28 rank=35.9 fourier=0.184 | time=7.1s
Step  1300 | train_loss=0.0992 test_loss=0.6149 | train_acc=1.0000 test_acc=0.9192 | ‖W‖=50.29 rank=34.7 fourier=0.189 | time=7.6s
🎉 GROKKING at step 1400! Test acc: 0.9705
Step  1400 | train_loss=0.0943 test_loss=0.4459 | train_acc=1.0000 test_acc=0.9705 | ‖W‖=49.96 rank=33.8 fourier=0.194 | time=8.1s
Step  1500 | train_loss=0.0878 test_loss=0.3221 | train_acc=1.0000 test_acc=0.9897 | ‖W‖=49.43 rank=33.1 fourier=0.201 | time=8.7s
Step  1600 | train_loss=0.0749 test_loss=0.2227 | train_acc=1.0000 test_acc=0.9967 | ‖W‖=49.03 rank=32.3 fourier=0.208 | time=9.2s
Step  1700 | train_loss=0.0728 test_loss=0.1767 | train_acc=1.0000 test_acc=0.9992 | ‖W‖=49.06 rank=31.8 fourier=0.217 | time=9.7s
Step  1800 | train_loss=0.1569 test_loss=0.2889 | train_acc=0.9952 test_acc=0.9787 | ‖W‖=49.18 rank=31.4 fourier=0.227 | time=10.3s
Step  1900 | train_loss=0.0457 test_loss=0.0829 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=48.02 rank=30.2 fourier=0.241 | time=10.9s
Step  2000 | train_loss=0.0534 test_loss=0.0869 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=46.52 rank=29.1 fourier=0.249 | time=11.4s
Step  2100 | train_loss=0.1122 test_loss=0.1817 | train_acc=1.0000 test_acc=0.9959 | ‖W‖=49.65 rank=29.5 fourier=0.256 | time=11.9s
Step  2200 | train_loss=0.0338 test_loss=0.0497 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=48.13 rank=29.3 fourier=0.261 | time=12.5s
Step  2300 | train_loss=0.0403 test_loss=0.0539 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.02 rank=27.6 fourier=0.276 | time=13.1s
Step  2400 | train_loss=0.0480 test_loss=0.0635 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.82 rank=26.8 fourier=0.287 | time=13.6s
Step  2500 | train_loss=0.0341 test_loss=0.0529 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=49.42 rank=31.9 fourier=0.254 | time=14.1s
Step  2600 | train_loss=0.0353 test_loss=0.0466 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.64 rank=29.8 fourier=0.269 | time=14.6s
Step  2700 | train_loss=0.0398 test_loss=0.0483 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=43.12 rank=28.2 fourier=0.285 | time=15.2s
Step  2800 | train_loss=0.0654 test_loss=0.0810 | train_acc=1.0000 test_acc=0.9992 | ‖W‖=45.49 rank=27.6 fourier=0.297 | time=15.7s
Step  2900 | train_loss=0.0449 test_loss=0.0546 | train_acc=1.0000 test_acc=0.9996 | ‖W‖=45.24 rank=26.8 fourier=0.305 | time=16.3s
Step  3000 | train_loss=0.0413 test_loss=0.0586 | train_acc=1.0000 test_acc=0.9992 | ‖W‖=50.34 rank=29.5 fourier=0.278 | time=16.8s
Step  3100 | train_loss=0.0294 test_loss=0.0353 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.13 rank=27.7 fourier=0.298 | time=17.4s
Step  3200 | train_loss=0.0375 test_loss=0.0433 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=43.35 rank=26.6 fourier=0.313 | time=17.9s
Step  3300 | train_loss=0.0437 test_loss=0.0508 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=44.20 rank=25.5 fourier=0.323 | time=18.5s
Step  3400 | train_loss=0.0376 test_loss=0.0439 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.42 rank=24.7 fourier=0.333 | time=19.0s
Step  3500 | train_loss=0.0382 test_loss=0.0461 | train_acc=1.0000 test_acc=0.9996 | ‖W‖=46.80 rank=24.3 fourier=0.333 | time=19.6s
Step  3600 | train_loss=0.1067 test_loss=0.1361 | train_acc=0.9990 test_acc=0.9971 | ‖W‖=50.32 rank=26.2 fourier=0.306 | time=20.1s
Step  3700 | train_loss=0.0226 test_loss=0.0261 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.75 rank=25.4 fourier=0.322 | time=20.6s
Step  3800 | train_loss=0.0308 test_loss=0.0350 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=44.35 rank=24.0 fourier=0.338 | time=21.1s
Step  3900 | train_loss=0.0324 test_loss=0.0372 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=44.43 rank=22.7 fourier=0.351 | time=21.7s
Step  4000 | train_loss=0.0697 test_loss=0.1015 | train_acc=1.0000 test_acc=0.9984 | ‖W‖=52.54 rank=29.5 fourier=0.282 | time=22.2s
Step  4100 | train_loss=0.0250 test_loss=0.0314 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=48.53 rank=29.2 fourier=0.295 | time=22.8s
Step  4200 | train_loss=0.0318 test_loss=0.0368 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.13 rank=27.8 fourier=0.311 | time=23.3s
Step  4300 | train_loss=0.0356 test_loss=0.0404 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=44.58 rank=25.8 fourier=0.331 | time=23.9s
Step  4400 | train_loss=0.0380 test_loss=0.0429 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=44.63 rank=23.4 fourier=0.348 | time=24.5s
Step  4500 | train_loss=0.0372 test_loss=0.0434 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=48.96 rank=23.1 fourier=0.346 | time=25.0s
Step  4600 | train_loss=0.0344 test_loss=0.0389 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=46.29 rank=22.0 fourier=0.359 | time=25.5s
Step  4700 | train_loss=0.0395 test_loss=0.0455 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.34 rank=22.1 fourier=0.357 | time=26.1s
Step  4800 | train_loss=0.0656 test_loss=0.0840 | train_acc=1.0000 test_acc=0.9992 | ‖W‖=51.10 rank=24.0 fourier=0.330 | time=26.7s
Step  4900 | train_loss=0.0242 test_loss=0.0278 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.18 rank=22.7 fourier=0.354 | time=27.2s
Step  5000 | train_loss=0.0342 test_loss=0.0413 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=49.01 rank=23.1 fourier=0.351 | time=27.7s
Step  5100 | train_loss=0.0348 test_loss=0.0406 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=46.68 rank=22.1 fourier=0.359 | time=28.3s
Step  5200 | train_loss=0.0298 test_loss=0.0371 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=52.29 rank=25.7 fourier=0.327 | time=28.8s
Step  5300 | train_loss=0.0214 test_loss=0.0246 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.14 rank=23.5 fourier=0.347 | time=29.5s
Step  5400 | train_loss=0.0293 test_loss=0.0326 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=45.39 rank=21.7 fourier=0.357 | time=30.0s
Step  5500 | train_loss=0.0507 test_loss=0.0593 | train_acc=0.9990 test_acc=0.9996 | ‖W‖=46.67 rank=21.9 fourier=0.358 | time=30.5s
Step  5600 | train_loss=0.0170 test_loss=0.0206 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=52.09 rank=25.5 fourier=0.335 | time=31.0s
Step  5700 | train_loss=0.0218 test_loss=0.0248 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=47.53 rank=23.1 fourier=0.352 | time=31.6s
Step  5800 | train_loss=0.0282 test_loss=0.0314 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=46.15 rank=21.3 fourier=0.361 | time=32.1s
Step  5900 | train_loss=0.0330 test_loss=0.0379 | train_acc=1.0000 test_acc=0.9996 | ‖W‖=50.96 rank=22.9 fourier=0.351 | time=32.6s
